"draw_date";"company_code";"number";"category";"position"
"2018-01-14";"MAG";"8530";"CONS";1
"2018-01-14";"MAG";"2844";"CONS";2
"2018-01-14";"MAG";"1964";"CONS";3
"2018-01-14";"MAG";"7824";"CONS";4
"2018-01-14";"MAG";"8846";"CONS";5
"2018-01-14";"MAG";"5566";"CONS";6
"2018-01-14";"MAG";"5110";"CONS";7
"2018-01-14";"MAG";"5420";"CONS";8
"2018-01-14";"MAG";"5627";"CONS";9
"2018-01-14";"MAG";"8526";"CONS";10
"2018-01-14";"ST";"3713";"FST";1
"2018-01-14";"ST";"9807";"SCD";2
"2018-01-14";"ST";"7908";"TRD";3
"2018-01-14";"ST";"----";"SP";1
"2018-01-14";"ST";"5673";"SP";2
"2018-01-14";"ST";"2380";"SP";3
"2018-01-14";"ST";"2519";"SP";4
"2018-01-14";"ST";"8746";"SP";5
"2018-01-14";"ST";"----";"SP";6
"2018-01-14";"ST";"0495";"SP";7
"2018-01-14";"ST";"8201";"SP";8
"2018-01-14";"ST";"6961";"SP";9
"2018-01-14";"ST";"1869";"SP";10
"2018-01-14";"ST";"9407";"SP";11
"2018-01-14";"ST";"----";"SP";12
"2018-01-14";"ST";"4914";"SP";13
"2018-01-14";"ST";"9535";"CONS";1
"2018-01-14";"ST";"1072";"CONS";2
"2018-01-14";"ST";"4736";"CONS";3
"2018-01-14";"ST";"3222";"CONS";4
"2018-01-14";"ST";"8421";"CONS";5
"2018-01-14";"ST";"1163";"CONS";6
"2018-01-14";"ST";"6317";"CONS";7
"2018-01-14";"ST";"7402";"CONS";8
"2018-01-14";"ST";"5384";"CONS";9
"2018-01-14";"ST";"3966";"CONS";10
"2018-01-16";"DMC";"0243";"FST";1
"2018-01-16";"DMC";"5840";"SCD";2
"2018-01-16";"DMC";"8454";"TRD";3
"2018-01-16";"DMC";"6616";"SP";1
"2018-01-16";"DMC";"5378";"SP";2
"2018-01-16";"DMC";"6014";"SP";3
"2018-01-16";"DMC";"7649";"SP";4
"2018-01-16";"DMC";"6936";"SP";5
"2018-01-16";"DMC";"5168";"SP";6
"2018-01-16";"DMC";"5484";"SP";7
"2018-01-16";"DMC";"5843";"SP";8
"2018-01-16";"DMC";"1158";"SP";9
"2018-01-16";"DMC";"3649";"SP";10
"2018-01-16";"DMC";"0203";"CONS";1
"2018-01-16";"DMC";"6428";"CONS";2
"2018-01-16";"DMC";"9921";"CONS";3
"2018-01-16";"DMC";"2392";"CONS";4
"2018-01-16";"DMC";"7173";"CONS";5
"2018-01-16";"DMC";"9369";"CONS";6
"2018-01-16";"DMC";"4000";"CONS";7
"2018-01-16";"DMC";"5823";"CONS";8
"2018-01-16";"DMC";"3274";"CONS";9
"2018-01-16";"DMC";"7016";"CONS";10
"2018-01-16";"MAG";"0404";"FST";1
"2018-01-16";"MAG";"0275";"SCD";2
"2018-01-16";"MAG";"6696";"TRD";3
"2018-01-16";"MAG";"6007";"SP";1
"2018-01-16";"MAG";"4193";"SP";2
"2018-01-16";"MAG";"7972";"SP";3
"2018-01-16";"MAG";"4278";"SP";4
"2018-01-16";"MAG";"2194";"SP";5
"2018-01-16";"MAG";"----";"SP";6
"2018-01-16";"MAG";"4633";"SP";7
"2018-01-16";"MAG";"8476";"SP";8
"2018-01-16";"MAG";"----";"SP";9
"2018-01-16";"MAG";"9595";"SP";10
"2018-01-16";"MAG";"7089";"SP";11
"2018-01-16";"MAG";"----";"SP";12
"2018-01-16";"MAG";"5232";"SP";13
"2018-01-16";"MAG";"9231";"CONS";1
"2018-01-16";"MAG";"8869";"CONS";2
"2018-01-16";"MAG";"1574";"CONS";3
"2018-01-16";"MAG";"5629";"CONS";4
